# n=70, modulus d=5, coefficients d=8
# Frobenius number = 411969699, Frobenius root = 11649, Apery max = 412000149
coefficients = [30450, 10000001, 11000003, 12000001, 13000001, 14000011, 15000001, 16000001, 17000003, 18000001, 
                19000001, 20000003, 21000001, 22000001, 23000003, 24000001, 25000001, 26000003, 27000001, 28000001, 
                29000003, 30000001, 31000001, 32000003, 33000001, 34000001, 35000003, 36000001, 37000001, 38000003, 
                39000001, 40000001, 41000003, 42000001, 43000001, 44000003, 45000001, 46000001, 47000003, 48000001, 
                49000001, 50000003, 51000001, 52000001, 53000003, 54000001, 55000001, 56000003, 57000001, 58000001, 
                59000003, 60000001, 61000001, 62000003, 63000001, 64000001, 65000003, 66000001, 67000001, 68000003, 
                69000001, 70000001, 71000003, 72000001, 73000001, 74000003, 75000001, 76000001, 77000003, 99999989]


Residues, Apery set, Zeros
310, 69000010, 68969560
311, 69000011, 68969561
312, 69000012, 68969562
313, 69000013, 68969563
314, 69000014, 68969564
315, 69000015, 68969565
316, 69000016, 68969566
317, 69000017, 68969567
318, 69000018, 68969568
319, 69000019, 68969569
320, 69000020, 68969570
321, 69000021, 68969571
322, 69000022, 68969572
323, 339000173, 338969723
324, 69000024, 68969574
325, 69000025, 68969575
326, 69000026, 68969576
327, 69000027, 68969577
328, 69000028, 68969578
329, 69000029, 68969579
330, 339000180, 338969730
331, 339000181, 338969731
332, 339000182, 338969732
333, 339000183, 338969733
334, 69000034, 68969584
335, 69000035, 68969585
336, 339000186, 338969736
337, 69000037, 68969587
338, 339000188, 338969738
339, 339000189, 338969739
340, 339000190, 338969740
341, 181999991, 181969541
342, 181999992, 181969542
343, 181999993, 181969543
344, 181999994, 181969544
345, 69000045, 68969595
346, 181999996, 181969546
347, 181999997, 181969547
348, 181999998, 181969548
349, 181999999, 181969549
350, 182000000, 181969550
351, 182000001, 181969551
352, 182000002, 181969552
353, 182000003, 181969553
354, 182000004, 181969554
355, 182000005, 181969555
356, 182000006, 181969556
357, 182000007, 181969557
358, 182000008, 181969558
359, 182000009, 181969559
360, 182000010, 181969560
361, 182000011, 181969561
362, 182000012, 181969562
363, 182000013, 181969563
364, 182000014, 181969564
365, 182000015, 181969565
366, 182000016, 181969566
367, 182000017, 181969567
368, 182000018, 181969568
369, 182000019, 181969569
370, 182000020, 181969570
371, 182000021, 181969571
372, 182000022, 181969572
373, 182000023, 181969573
374, 182000024, 181969574
375, 182000025, 181969575
376, 182000026, 181969576
377, 182000027, 181969577
378, 182000028, 181969578
379, 182000029, 181969579
380, 182000030, 181969580
381, 182000031, 181969581
382, 182000032, 181969582
383, 182000033, 181969583
384, 182000034, 181969584
385, 182000035, 181969585
386, 182000036, 181969586
387, 182000037, 181969587
388, 182000038, 181969588
389, 182000039, 181969589
390, 182000040, 181969590
391, 182000041, 181969591
392, 182000042, 181969592
393, 182000043, 181969593
394, 182000044, 181969594
395, 182000045, 181969595
396, 182000046, 181969596
397, 182000047, 181969597
398, 182000048, 181969598
399, 182000049, 181969599
400, 182000050, 181969600
401, 182000051, 181969601
402, 182000052, 181969602
403, 182000053, 181969603
404, 182000054, 181969604
405, 182000055, 181969605
406, 182000056, 181969606
407, 182000057, 181969607
408, 182000058, 181969608
409, 182000059, 181969609
410, 182000060, 181969610
411, 182000061, 181969611
412, 182000062, 181969612
413, 182000063, 181969613
414, 182000064, 181969614
415, 182000065, 181969615
416, 182000066, 181969616
417, 182000067, 181969617
418, 182000068, 181969618
419, 182000069, 181969619
420, 182000070, 181969620
421, 182000071, 181969621
422, 182000072, 181969622
423, 182000073, 181969623
424, 182000074, 181969624
425, 182000075, 181969625
426, 182000076, 181969626
427, 182000077, 181969627
428, 182000078, 181969628
429, 182000079, 181969629
430, 182000080, 181969630
431, 182000081, 181969631
432, 182000082, 181969632
433, 182000083, 181969633
434, 182000084, 181969634
435, 182000085, 181969635
436, 182000086, 181969636
437, 182000087, 181969637
438, 182000088, 181969638
439, 182000089, 181969639
440, 182000090, 181969640
441, 182000091, 181969641
442, 182000092, 181969642
443, 182000093, 181969643
444, 182000094, 181969644
445, 182000095, 181969645
446, 182000096, 181969646
447, 182000097, 181969647
448, 182000098, 181969648
449, 182000099, 181969649
450, 182000100, 181969650
451, 182000101, 181969651
452, 182000102, 181969652
453, 182000103, 181969653
454, 182000104, 181969654
455, 182000105, 181969655
456, 182000106, 181969656
457, 182000107, 181969657
458, 182000108, 181969658
459, 295000059, 294969609
460, 182000110, 181969660
461, 182000111, 181969661
462, 182000112, 181969662
463, 182000113, 181969663
464, 182000114, 181969664
465, 182000115, 181969665
466, 295000066, 294969616
467, 295000067, 294969617
468, 182000118, 181969668
469, 182000119, 181969669
470, 295000070, 294969620
471, 295000071, 294969621
472, 182000122, 181969672
473, 182000123, 181969673
474, 295000074, 294969624
475, 295000075, 294969625
476, 295000076, 294969626
477, 182000127, 181969677
478, 295000078, 294969628
479, 295000079, 294969629
480, 295000080, 294969630
481, 295000081, 294969631
482, 295000082, 294969632
483, 295000083, 294969633
484, 295000084, 294969634
485, 295000085, 294969635
486, 295000086, 294969636
487, 295000087, 294969637
488, 295000088, 294969638
489, 295000089, 294969639
490, 295000090, 294969640
491, 295000091, 294969641
492, 295000092, 294969642
493, 182000143, 181969693
494, 295000094, 294969644
495, 295000095, 294969645
496, 295000096, 294969646
497, 295000097, 294969647
498, 295000098, 294969648
499, 295000099, 294969649
500, 295000100, 294969650
501, 295000101, 294969651
502, 295000102, 294969652
503, 295000103, 294969653
504, 295000104, 294969654
505, 295000105, 294969655
506, 295000106, 294969656
507, 295000107, 294969657
508, 295000108, 294969658
509, 295000109, 294969659
510, 295000110, 294969660
511, 295000111, 294969661
512, 295000112, 294969662
513, 295000113, 294969663
514, 295000114, 294969664
515, 295000115, 294969665
516, 295000116, 294969666
517, 295000117, 294969667
518, 295000118, 294969668
519, 295000119, 294969669
520, 295000120, 294969670
521, 295000121, 294969671
522, 295000122, 294969672
523, 295000123, 294969673
524, 295000124, 294969674
525, 295000125, 294969675
526, 295000126, 294969676
527, 295000127, 294969677
528, 295000128, 294969678
529, 295000129, 294969679
530, 295000130, 294969680
531, 295000131, 294969681
532, 295000132, 294969682
533, 295000133, 294969683
534, 295000134, 294969684
535, 295000135, 294969685
536, 295000136, 294969686
537, 295000137, 294969687
538, 295000138, 294969688
539, 295000139, 294969689
540, 295000140, 294969690
541, 295000141, 294969691
542, 295000142, 294969692
543, 295000143, 294969693
544, 295000144, 294969694
545, 295000145, 294969695
546, 295000146, 294969696
547, 295000147, 294969697
548, 295000148, 294969698
549, 295000149, 294969699
550, 295000150, 294969700
551, 25000001, 24969551
552, 25000002, 24969552
553, 295000153, 294969703
554, 295000154, 294969704
555, 295000155, 294969705
556, 295000156, 294969706
557, 295000157, 294969707
558, 295000158, 294969708
559, 295000159, 294969709
560, 295000160, 294969710
561, 295000161, 294969711
562, 295000162, 294969712
563, 295000163, 294969713
564, 25000014, 24969564
565, 295000165, 294969715
566, 295000166, 294969716
567, 295000167, 294969717
568, 295000168, 294969718
569, 295000169, 294969719
570, 295000170, 294969720
571, 295000171, 294969721
572, 295000172, 294969722
573, 295000173, 294969723
574, 295000174, 294969724
575, 295000175, 294969725
576, 295000176, 294969726
577, 295000177, 294969727
578, 295000178, 294969728
579, 295000179, 294969729
580, 295000180, 294969730
581, 295000181, 294969731
582, 295000182, 294969732
583, 295000183, 294969733
584, 295000184, 294969734
585, 295000185, 294969735
586, 295000186, 294969736
587, 295000187, 294969737
588, 295000188, 294969738
589, 295000189, 294969739
590, 295000190, 294969740
591, 137999991, 137969541
592, 137999992, 137969542
593, 137999993, 137969543
594, 137999994, 137969544
595, 295000195, 294969745
596, 137999996, 137969546
597, 295000197, 294969747
598, 295000198, 294969748
599, 295000199, 294969749
600, 295000200, 294969750
601, 138000001, 137969551
602, 138000002, 137969552
603, 138000003, 137969553
604, 138000004, 137969554
605, 138000005, 137969555
606, 138000006, 137969556
607, 138000007, 137969557
608, 138000008, 137969558
609, 138000009, 137969559
610, 138000010, 137969560
611, 138000011, 137969561
612, 138000012, 137969562
613, 138000013, 137969563
614, 138000014, 137969564
615, 138000015, 137969565
616, 138000016, 137969566
617, 138000017, 137969567
618, 138000018, 137969568
619, 138000019, 137969569
620, 138000020, 137969570
621, 138000021, 137969571
622, 138000022, 137969572
623, 138000023, 137969573
624, 138000024, 137969574
625, 138000025, 137969575
626, 138000026, 137969576
627, 138000027, 137969577
628, 138000028, 137969578
629, 138000029, 137969579
630, 138000030, 137969580
631, 138000031, 137969581
632, 138000032, 137969582
633, 138000033, 137969583
634, 138000034, 137969584
635, 138000035, 137969585
636, 138000036, 137969586
637, 138000037, 137969587
638, 138000038, 137969588
639, 138000039, 137969589
640, 138000040, 137969590
641, 138000041, 137969591
642, 138000042, 137969592
