# Frobenius number = 7909005, Frobenius root = 416, Apery max = 7918978
coefficients = [9973, 89989, 89981, 89977, 89969, 89963, 89959, 89951, 89939, 89929, 89923, 
                89917, 89909, 89899, 89891, 89881]

477, 4139272, 4129299
478, 269749, 259776
479, 4139274, 4129301
480, 269751, 259778
481, 4139276, 4129303
482, 269753, 259780
483, 4139278, 4129305
484, 269755, 259782
485, 4139280, 4129307
486, 269757, 259784
487, 4139282, 4129309
488, 269759, 259786
489, 4139284, 4129311
490, 269761, 259788
491, 4139286, 4129313
492, 269763, 259790
493, 4139288, 4129315
494, 269765, 259792
495, 4139290, 4129317
496, 269767, 259794
497, 4139292, 4129319
498, 269769, 259796
499, 4139294, 4129321
500, 269771, 259798
501, 4139296, 4129323
502, 269773, 259800
503, 4139298, 4129325
504, 269775, 259802
505, 4139300, 4129327
506, 269777, 259804
507, 4139302, 4129329
508, 269779, 259806
509, 4139304, 4129331
510, 269781, 259808
511, 4139306, 4129333
512, 269783, 259810
513, 4139308, 4129335
514, 269785, 259812
515, 4139310, 4129337
516, 269787, 259814
517, 4139312, 4129339
518, 269789, 259816
519, 4139314, 4129341
520, 269791, 259818
521, 4139316, 4129343
522, 269793, 259820
523, 4139318, 4129345
524, 269795, 259822
525, 4139320, 4129347
526, 269797, 259824
527, 4139322, 4129349
528, 269799, 259826
529, 4139324, 4129351
530, 269801, 259828
531, 4139326, 4129353
532, 269803, 259830
533, 4139328, 4129355
534, 269805, 259832
535, 4139330, 4129357
536, 269807, 259834
537, 4139332, 4129359
538, 269809, 259836
539, 4139334, 4129361
540, 269811, 259838
541, 4139336, 4129363
542, 269813, 259840
543, 4139338, 4129365
544, 269815, 259842
545, 4139340, 4129367
546, 269817, 259844
547, 4139342, 4129369
548, 269819, 259846
549, 4139344, 4129371
550, 269821, 259848
551, 4139346, 4129373
552, 269823, 259850
553, 4139348, 4129375
554, 269825, 259852
555, 4139350, 4129377
556, 269827, 259854
557, 4139352, 4129379
558, 269829, 259856
559, 4139354, 4129381
560, 269831, 259858
561, 4139356, 4129383
562, 269833, 259860
563, 4139358, 4129385
564, 269835, 259862
565, 4139360, 4129387
566, 269837, 259864
567, 4139362, 4129389
568, 269839, 259866
569, 4139364, 4129391
570, 269841, 259868
571, 4139366, 4129393
572, 269843, 259870
573, 4139368, 4129395
574, 269845, 259872
575, 4139370, 4129397
576, 269847, 259874
577, 4139372, 4129399
578, 269849, 259876
579, 4139374, 4129401
