# n=12, modulus d=5, coefficients d=5
# Frobenius number = 1312918, Frobenius root = 2001, Apery max = 1322925
coefficients = [10007, 18013, 27011, 36007, 45007, 54001, 63013, 72019, 81001, 90007, 95003, 99989]


426, 770965, 760958
427, 770966, 760959
428, 760960, 750953
429, 760961, 750954
430, 760962, 750955
431, 770970, 760963
432, 800992, 790985
433, 730944, 720937
434, 760966, 750959
435, 760967, 750960
436, 750961, 740954
437, 750962, 740955
438, 760970, 750963
439, 760971, 750964
440, 760972, 750965
441, 760973, 750966
442, 760974, 750967
443, 760975, 750968
444, 760976, 750969
445, 760977, 750970
446, 750971, 740964
447, 750972, 740965
448, 750973, 740966
449, 750974, 740967
450, 750975, 740968
451, 760983, 750976
452, 720956, 710949
453, 750978, 740971
454, 750979, 740972
455, 750980, 740973
456, 750981, 740974
457, 750982, 740975
458, 720962, 710955
459, 680935, 670928
460, 750985, 740978
461, 740979, 730972
462, 740980, 730973
463, 720967, 710960
464, 720968, 710961
465, 710962, 700955
466, 710963, 700956
467, 740985, 730978
468, 720972, 710965
469, 720973, 710966
470, 680946, 670939
471, 740989, 730982
472, 680948, 670941
473, 740991, 730984
474, 740992, 730985
475, 720979, 710972
476, 710973, 700966
477, 710974, 700967
478, 710975, 700968
479, 740997, 730990
480, 720984, 710977
481, 730992, 720985
482, 720986, 710979
483, 710980, 700973
484, 670953, 660946
485, 670954, 660947
486, 710983, 700976
487, 710984, 700977
488, 710985, 700978
489, 680965, 670958
490, 700980, 690973
491, 670960, 660953
492, 700982, 690975
493, 710990, 700983
494, 670963, 660956
495, 670964, 660957
496, 670965, 660958
497, 670966, 660959
498, 670967, 660960
499, 710996, 700989
500, 700990, 690983
501, 670970, 660963
502, 670971, 660964
503, 670972, 660965
504, 660966, 650959
505, 660967, 650960
506, 670975, 660968
507, 670976, 660969
508, 670977, 660970
509, 660971, 650964
510, 660972, 650965
511, 660973, 650966
512, 670981, 660974
513, 701003, 690996
514, 630955, 620948
515, 660977, 650970
516, 660978, 650971
517, 650972, 640965
518, 650973, 640966
519, 660981, 650974
520, 660982, 650975
521, 660983, 650976
522, 660984, 650977
523, 660985, 650978
524, 660986, 650979
525, 660987, 650980
526, 660988, 650981
527, 650982, 640975
528, 650983, 640976
529, 650984, 640977
530, 650985, 640978
531, 650986, 640979
532, 660994, 650987
533, 620967, 610960
534, 650989, 640982
535, 650990, 640983
536, 650991, 640984
537, 650992, 640985
538, 650993, 640986
539, 620973, 610966
540, 580946, 570939
541, 650996, 640989
542, 640990, 630983
543, 640991, 630984
544, 620978, 610971
545, 620979, 610972
546, 610973, 600966
547, 610974, 600967
548, 640996, 630989
549, 620983, 610976
550, 620984, 610977
551, 580957, 570950
552, 641000, 630993
553, 580959, 570952
554, 641002, 630995
555, 641003, 630996
556, 620990, 610983
557, 610984, 600977
558, 610985, 600978
559, 610986, 600979
560, 641008, 631001
561, 620995, 610988
562, 631003, 620996
563, 620997, 610990
564, 610991, 600984
565, 570964, 560957
566, 570965, 560958
567, 610994, 600987
568, 610995, 600988
569, 610996, 600989
570, 580976, 570969
571, 600991, 590984
572, 570971, 560964
573, 600993, 590986
574, 611001, 600994
575, 570974, 560967
576, 570975, 560968
577, 570976, 560969
578, 570977, 560970
579, 570978, 560971
580, 611007, 601000
581, 601001, 590994
582, 570981, 560974
583, 570982, 560975
584, 570983, 560976
585, 560977, 550970
